timestamp_utc,city,latitude,longitude,pm2_5,pm10,co,no2,so2,o3,us_aqi
2026-08-17 00:00:00+00:00,Islamabad,33.6844,73.0479,28.2,33.1,340.0,16.4,4.0,63.0,123.0
2026-08-17 01:00:00+00:00,Islamabad,33.6844,73.0479,14.2,16.1,525.0,18.1,4.6,70.0,120.0
2026-08-17 02:00:00+00:00,Islamabad,33.6844,73.0479,17.3,19.9,793.0,20.4,5.5,82.0,114.0
2026-08-17 03:00:00+00:00,Islamabad,33.6844,73.0479,25.0,30.6,958.0,20.5,6.9,98.0,110.0
2026-08-17 04:00:00+00:00,Islamabad,33.6844,73.0479,28.5,36.2,916.0,16.6,9.5,124.0,107.0
2026-08-17 05:00:00+00:00,Islamabad,33.6844,73.0479,30.7,39.6,771.0,10.6,12.6,155.0,106.0
2026-08-17 06:00:00+00:00,Islamabad,33.6844,73.0479,31.9,41.0,649.0,6.1,14.6,178.0,104.0
2026-08-17 07:00:00+00:00,Islamabad,33.6844,73.0479,32.8,41.8,589.0,4.2,14.7,188.0,103.0
2026-08-17 08:00:00+00:00,Islamabad,33.6844,73.0479,33.1,42.1,551.0,3.9,13.8,189.0,103.0
2026-08-17 09:00:00+00:00,Islamabad,33.6844,73.0479,31.9,40.9,543.0,5.3,12.8,184.0,102.0
2026-08-17 10:00:00+00:00,Islamabad,33.6844,73.0479,29.5,38.0,566.0,8.8,12.1,172.0,121.0
2026-08-17 11:00:00+00:00,Islamabad,33.6844,73.0479,29.4,38.1,620.0,14.1,11.3,153.0,140.0
2026-08-17 12:00:00+00:00,Islamabad,33.6844,73.0479,40.0,55.5,710.0,18.7,8.6,130.0,152.0
2026-08-17 13:00:00+00:00,Islamabad,33.6844,73.0479,42.3,54.8,875.0,33.1,8.8,105.0,153.0
2026-08-17 14:00:00+00:00,Islamabad,33.6844,73.0479,48.0,57.4,1077.0,52.7,9.0,70.0,143.0
2026-08-17 15:00:00+00:00,Islamabad,33.6844,73.0479,48.5,56.7,1202.0,66.3,9.0,43.0,120.0
2026-08-17 16:00:00+00:00,Islamabad,33.6844,73.0479,51.7,60.1,1199.0,69.0,8.5,31.0,100.0
2026-08-17 17:00:00+00:00,Islamabad,33.6844,73.0479,55.5,63.8,1121.0,65.6,7.7,28.0,100.0
2026-08-17 18:00:00+00:00,Islamabad,33.6844,73.0479,58.7,66.6,1011.0,59.0,6.9,31.0,101.0
2026-08-17 19:00:00+00:00,Islamabad,33.6844,73.0479,54.5,62.4,856.0,48.2,5.9,41.0,102.0
2026-08-17 20:00:00+00:00,Islamabad,33.6844,73.0479,49.7,58.3,671.0,34.1,4.9,57.0,103.0
2026-08-17 21:00:00+00:00,Islamabad,33.6844,73.0479,26.5,32.1,540.0,22.6,4.2,72.0,103.0
2026-08-17 22:00:00+00:00,Islamabad,33.6844,73.0479,29.7,37.3,492.0,15.6,4.1,85.0,102.0
2026-08-17 23:00:00+00:00,Islamabad,33.6844,73.0479,30.5,39.7,498.0,11.1,4.3,98.0,102.0
2026-08-18 00:00:00+00:00,Islamabad,33.6844,73.0479,22.2,30.0,564.0,10.3,6.0,104.0,102.0
2026-08-18 01:00:00+00:00,Islamabad,33.6844,73.0479,25.3,31.9,751.0,15.8,6.2,96.0,101.0
2026-08-18 02:00:00+00:00,Islamabad,33.6844,73.0479,29.6,36.9,997.0,23.1,6.5,85.0,102.0
2026-08-18 03:00:00+00:00,Islamabad,33.6844,73.0479,29.2,37.7,1119.0,26.5,7.4,86.0,103.0
2026-08-18 04:00:00+00:00,Islamabad,33.6844,73.0479,27.0,37.4,997.0,22.2,9.6,108.0,104.0
2026-08-18 05:00:00+00:00,Islamabad,33.6844,73.0479,26.7,40.3,751.0,13.9,12.3,140.0,104.0
2026-08-18 06:00:00+00:00,Islamabad,33.6844,73.0479,27.1,39.9,563.0,7.6,14.1,167.0,103.0
2026-08-18 07:00:00+00:00,Islamabad,33.6844,73.0479,27.9,39.8,491.0,5.3,14.0,182.0,103.0
2026-08-18 08:00:00+00:00,Islamabad,33.6844,73.0479,29.0,40.9,477.0,4.9,13.0,190.0,102.0
2026-08-18 09:00:00+00:00,Islamabad,33.6844,73.0479,30.2,42.4,532.0,5.6,12.3,194.0,102.0
2026-08-18 10:00:00+00:00,Islamabad,33.6844,73.0479,30.9,43.5,697.0,4.8,12.3,195.0,112.0
2026-08-18 11:00:00+00:00,Islamabad,33.6844,73.0479,31.2,44.6,931.0,5.1,12.7,191.0,135.0
2026-08-18 12:00:00+00:00,Islamabad,33.6844,73.0479,46.7,65.2,1124.0,15.4,13.7,165.0,155.0
2026-08-18 13:00:00+00:00,Islamabad,33.6844,73.0479,54.1,70.3,1255.0,35.3,13.4,130.0,165.0
2026-08-18 14:00:00+00:00,Islamabad,33.6844,73.0479,63.1,79.4,1346.0,62.5,13.0,81.0,163.0
2026-08-18 15:00:00+00:00,Islamabad,33.6844,73.0479,61.5,75.7,1347.0,80.9,12.4,45.0,149.0
2026-08-18 16:00:00+00:00,Islamabad,33.6844,73.0479,61.9,75.7,1209.0,82.4,11.6,33.0,120.0
2026-08-18 17:00:00+00:00,Islamabad,33.6844,73.0479,62.9,75.2,981.0,75.1,10.6,33.0,108.0
2026-08-18 18:00:00+00:00,Islamabad,33.6844,73.0479,61.7,73.8,766.0,66.8,9.7,35.0,109.0
2026-08-18 19:00:00+00:00,Islamabad,33.6844,73.0479,60.1,72.6,583.0,59.3,8.8,37.0,109.0
2026-08-18 20:00:00+00:00,Islamabad,33.6844,73.0479,58.6,71.0,413.0,50.8,8.1,42.0,110.0
2026-08-18 21:00:00+00:00,Islamabad,33.6844,73.0479,58.1,71.0,296.0,43.3,7.5,46.0,111.0
2026-08-18 22:00:00+00:00,Islamabad,33.6844,73.0479,58.9,72.4,246.0,37.6,7.1,48.0,114.0
2026-08-18 23:00:00+00:00,Islamabad,33.6844,73.0479,58.9,72.4,250.0,32.8,7.0,50.0,117.0
2026-08-19 00:00:00+00:00,Islamabad,33.6844,73.0479,36.4,46.7,307.0,17.9,6.0,73.0,120.0
2026-08-19 01:00:00+00:00,Islamabad,33.6844,73.0479,35.6,43.0,464.0,17.7,6.9,79.0,121.0
2026-08-19 02:00:00+00:00,Islamabad,33.6844,73.0479,28.7,36.3,674.0,17.3,8.3,88.0,122.0
2026-08-19 03:00:00+00:00,Islamabad,33.6844,73.0479,22.3,32.9,802.0,16.2,9.9,100.0,122.0
2026-08-19 04:00:00+00:00,Islamabad,33.6844,73.0479,23.1,35.0,766.0,13.9,11.9,115.0,122.0
2026-08-19 05:00:00+00:00,Islamabad,33.6844,73.0479,27.5,44.0,648.0,10.8,14.1,133.0,121.0
2026-08-19 06:00:00+00:00,Islamabad,33.6844,73.0479,29.0,46.4,555.0,8.4,15.5,148.0,121.0
