iter	Passed	Remaining
0	39	19724
1	85	21314
2	129	21500
3	168	20939
4	207	20587
5	247	20349
6	280	19777
7	316	19438
8	349	19054
9	381	18672
10	412	18334
11	446	18174
12	489	18349
13	534	18564
14	576	18641
15	618	18718
16	653	18567
17	689	18471
18	720	18235
19	759	18217
20	795	18138
21	827	17980
22	859	17821
23	891	17675
24	921	17500
25	951	17337
26	979	17158
27	1016	17132
28	1044	16962
29	1075	16843
30	1102	16681
31	1129	16512
32	1156	16367
33	1184	16232
34	1211	16089
35	1237	15952
36	1264	15817
37	1294	15737
38	1326	15683
39	1357	15607
40	1391	15574
41	1425	15541
42	1456	15483
43	1485	15400
44	1514	15308
45	1540	15206
46	1566	15095
47	1592	14994
48	1648	15173
49	1707	15367
50	1740	15320
51	1765	15208
52	1789	15091
53	1813	14976
54	1838	14876
55	1862	14768
56	1888	14679
57	1914	14589
58	1940	14501
59	1961	14387
60	1986	14293
61	2011	14209
62	2035	14120
63	2062	14051
64	2086	13964
65	2110	13880
66	2134	13795
67	2158	13713
68	2183	13637
69	2209	13570
70	2235	13509
71	2288	13606
72	2323	13588
73	2347	13516
74	2372	13444
75	2396	13370
76	2421	13304
77	2445	13229
78	2474	13185
79	2506	13159
80	2539	13135
81	2570	13105
82	2605	13088
83	2639	13074
84	2668	13030
85	2698	12990
86	2741	13012
87	2786	13045
88	2827	13057
89	2864	13051
90	2902	13046
91	2932	13005
92	2971	13002
93	3009	12997
94	3048	12995
95	3085	12983
96	3116	12949
97	3149	12919
98	3181	12887
99	3226	12904
100	3266	12902
101	3303	12890
102	3343	12887
103	3385	12890
104	3424	12883
105	3467	12888
106	3507	12881
107	3547	12877
108	3592	12888
109	3627	12861
110	3660	12827
111	3688	12779
112	3716	12727
113	3745	12681
114	3778	12651
115	3811	12617
116	3840	12572
117	3867	12520
118	3896	12476
119	3925	12431
120	3953	12384
121	3981	12337
122	4007	12284
123	4053	12292
124	4106	12319
125	4141	12291
126	4172	12255
127	4198	12201
128	4225	12150
129	4250	12098
130	4279	12054
131	4308	12012
132	4335	11962
133	4361	11911
134	4385	11856
135	4409	11802
136	4435	11752
137	4460	11701
138	4489	11660
139	4516	11613
140	4540	11561
141	4567	11514
142	4591	11462
143	4615	11411
144	4641	11363
145	4669	11321
146	4697	11281
147	4724	11237
148	4749	11189
149	4781	11157
150	4814	11126
151	4843	11088
152	4876	11058
153	4913	11039
154	4943	11003
155	4971	10962
156	4995	10912
157	5024	10876
158	5051	10833
159	5077	10789
160	5102	10744
161	5129	10702
162	5155	10658
163	5183	10619
164	5210	10577
165	5239	10541
166	5266	10501
167	5299	10473
168	5332	10444
169	5365	10416
170	5394	10378
171	5424	10344
172	5451	10304
173	5480	10267
174	5513	10239
175	5546	10211
176	5579	10180
177	5606	10142
178	5631	10099
179	5659	10060
180	5686	10021
181	5713	9983
182	5739	9941
183	5763	9898
184	5791	9861
185	5815	9818
186	5842	9778
187	5869	9740
188	5895	9701
189	5920	9659
190	5947	9621
191	5973	9582
192	6001	9546
193	6028	9509
194	6056	9473
195	6082	9434
196	6107	9394
197	6136	9359
198	6162	9320
199	6188	9283
200	6220	9253
201	6246	9215
202	6273	9178
203	6307	9152
204	6343	9128
205	6380	9106
206	6415	9081
207	6448	9052
208	6479	9022
209	6518	9001
210	6570	8999
211	6608	8977
212	6651	8961
213	6696	8949
214	6736	8930
215	6780	8914
216	6831	8908
217	6870	8887
218	6910	8867
219	6951	8847
220	6988	8822
221	7019	8790
222	7053	8761
223	7092	8738
224	7123	8706
225	7151	8670
226	7177	8632
227	7215	8607
228	7238	8566
229	7268	8532
230	7295	8495
231	7321	8457
232	7349	8422
233	7382	8391
234	7415	8362
235	7450	8334
236	7487	8309
237	7521	8279
238	7556	8251
239	7588	8220
240	7622	8192
241	7654	8160
242	7681	8124
243	7707	8086
244	7735	8050
245	7761	8014
246	7786	7975
247	7815	7941
248	7842	7905
249	7875	7875
250	7903	7840
251	7931	7805
252	7957	7768
253	7985	7733
254	8009	7695
255	8037	7660
256	8062	7623
257	8092	7590
258	8120	7555
259	8146	7520
260	8175	7486
261	8202	7451
262	8231	7417
263	8258	7382
264	8292	7353
265	8321	7320
266	8354	7290
267	8384	7258
268	8413	7225
269	8445	7194
270	8475	7161
271	8505	7129
272	8536	7098
273	8564	7064
274	8591	7029
275	8617	6993
276	8642	6957
277	8667	6921
278	8691	6884
279	8717	6849
280	8741	6812
281	8765	6776
282	8793	6742
283	8818	6707
284	8843	6671
285	8870	6637
286	8899	6604
287	8926	6571
288	8992	6565
289	9038	6544
290	9072	6516
291	9110	6489
292	9139	6457
293	9177	6430
294	9207	6398
295	9237	6366
296	9263	6331
297	9290	6297
298	9317	6263
299	9342	6228
300	9370	6195
301	9402	6164
302	9431	6132
303	9459	6099
304	9488	6066
305	9516	6033
306	9543	5999
307	9574	5968
308	9602	5935
309	9631	5902
310	9659	5870
311	9685	5836
312	9712	5802
313	9742	5771
314	9769	5737
315	9796	5704
316	9823	5670
317	9852	5638
318	9880	5606
319	9909	5574
320	9937	5541
321	9968	5510
322	10005	5483
323	10035	5451
324	10062	5418
325	10100	5391
326	10128	5358
327	10158	5327
328	10199	5301
329	10232	5271
330	10265	5241
331	10292	5208
332	10319	5175
333	10344	5141
334	10370	5107
335	10395	5074
336	10423	5041
337	10450	5008
338	10476	4975
339	10506	4944
340	10539	4914
341	10575	4885
342	10611	4857
343	10645	4827
344	10675	4796
345	10701	4763
346	10727	4730
347	10759	4699
348	10790	4668
349	10818	4636
350	10849	4605
351	10879	4574
352	10908	4542
353	10932	4509
354	10958	4475
355	10983	4442
356	11007	4409
357	11032	4376
358	11059	4343
359	11087	4311
360	11112	4278
361	11140	4246
362	11164	4213
363	11194	4182
364	11225	4152
365	11258	4121
366	11293	4092
367	11324	4062
368	11358	4032
369	11394	4003
370	11430	3974
371	11465	3945
372	11500	3915
373	11532	3885
374	11562	3854
375	11590	3822
376	11629	3794
377	11673	3767
378	11713	3739
379	11747	3709
380	11782	3680
381	11818	3650
382	11856	3622
383	11890	3591
384	11923	3561
385	11959	3531
386	11991	3501
387	12019	3469
388	12046	3437
389	12072	3404
390	12103	3374
391	12137	3344
392	12172	3314
393	12204	3283
394	12247	3255
395	12292	3228
396	12334	3200
397	12374	3171
398	12414	3142
399	12451	3112
400	12484	3082
401	12517	3051
402	12555	3022
403	12588	2991
404	12625	2961
405	12658	2930
406	12691	2900
407	12724	2869
408	12763	2839
409	12798	2809
410	12828	2777
411	12855	2745
412	12884	2714
413	12916	2683
414	12952	2652
415	12983	2621
416	13021	2591
417	13060	2562
418	13094	2531
419	13128	2500
420	13161	2469
421	13191	2438
422	13223	2407
423	13254	2375
424	13284	2344
425	13312	2312
426	13339	2280
427	13367	2248
428	13397	2217
429	13424	2185
430	13451	2153
431	13488	2123
432	13529	2093
433	13555	2061
434	13586	2030
435	13615	1998
436	13645	1967
437	13673	1935
438	13702	1903
439	13729	1872
440	13755	1840
441	13784	1808
442	13813	1777
443	13849	1746
444	13889	1716
445	13936	1687
446	13975	1657
447	14012	1626
448	14054	1596
449	14092	1565
450	14135	1535
451	14180	1505
452	14224	1475
453	14267	1445
454	14301	1414
455	14333	1383
456	14364	1351
457	14400	1320
458	14431	1289
459	14460	1257
460	14489	1225
461	14516	1194
462	14544	1162
463	14571	1130
464	14597	1098
465	14623	1066
466	14648	1035
467	14674	1003
468	14701	971
469	14728	940
470	14753	908
471	14777	876
472	14801	844
473	14829	813
474	14862	782
475	14890	750
476	14916	719
477	14942	687
478	14968	656
479	14994	624
480	15020	593
481	15049	562
482	15091	531
483	15125	500
484	15160	468
485	15191	437
486	15222	406
487	15248	374
488	15273	343
489	15304	312
490	15333	281
491	15362	249
492	15396	218
493	15432	187
494	15465	156
495	15495	124
496	15522	93
497	15552	62
498	15583	31
499	15615	0
